kdrg_code,kdrg_name,aadrg_code,aadrg_name,partition,mdc_code,cc_level,relative_weight,arithmetic_mean_los
A0307,심장 이식 - 특수3,A030,심장 이식,S,,7,0.0,0.0
A0308,심장 이식 - 특수4,A030,심장 이식,S,,8,0.0,0.0
A0309,심장 이식 - 특수5,A030,심장 이식,S,,9,0.0,0.0
A0400,췌장 이식,A040,췌장 이식,S,,0,0.0,0.0
A0401,췌장 이식 - 경도,A040,췌장 이식,S,,1,0.0,0.0
A0402,췌장 이식 - 중등도,A040,췌장 이식,S,,2,0.0,0.0
A0403,췌장 이식 - 중증,A040,췌장 이식,S,,3,0.0,0.0
A0404,췌장 이식 - 최중증,A040,췌장 이식,S,,4,0.0,0.0
A0405,췌장 이식 - 특수1,A040,췌장 이식,S,,5,0.0,0.0
A0406,췌장 이식 - 특수2,A040,췌장 이식,S,,6,0.0,0.0
A0407,췌장 이식 - 특수3,A040,췌장 이식,S,,7,0.0,0.0
A0408,췌장 이식 - 특수4,A040,췌장 이식,S,,8,0.0,0.0
A0409,췌장 이식 - 특수5,A040,췌장 이식,S,,9,0.0,0.0
A0500,소장 이식,A050,소장 이식,S,,0,0.0,0.0
A0501,소장 이식 - 경도,A050,소장 이식,S,,1,0.0,0.0
A0502,소장 이식 - 중등도,A050,소장 이식,S,,2,0.0,0.0
A0503,소장 이식 - 중증,A050,소장 이식,S,,3,0.0,0.0
A0504,소장 이식 - 최중증,A050,소장 이식,S,,4,0.0,0.0
A0505,소장 이식 - 특수1,A050,소장 이식,S,,5,0.0,0.0
A0506,소장 이식 - 특수2,A050,소장 이식,S,,6,0.0,0.0
A0507,소장 이식 - 특수3,A050,소장 이식,S,,7,0.0,0.0
A0508,소장 이식 - 특수4,A050,소장 이식,S,,8,0.0,0.0
A0509,소장 이식 - 특수5,A050,소장 이식,S,,9,0.0,0.0
A0610,"조혈모세포 이식, 동종이식",A061,"조혈모세포 이식, 동종이식",S,,0,0.0,0.0
A0611,"조혈모세포 이식, 동종이식 - 경도",A061,"조혈모세포 이식, 동종이식",S,,1,0.0,0.0
A0612,"조혈모세포 이식, 동종이식 - 중등도",A061,"조혈모세포 이식, 동종이식",S,,2,0.0,0.0
A0613,"조혈모세포 이식, 동종이식 - 중증",A061,"조혈모세포 이식, 동종이식",S,,3,0.0,0.0
A0614,"조혈모세포 이식, 동종이식 - 최중증",A061,"조혈모세포 이식, 동종이식",S,,4,0.0,0.0
A0615,"조혈모세포 이식, 동종이식 - 특수1",A061,"조혈모세포 이식, 동종이식",S,,5,0.0,0.0
A0616,"조혈모세포 이식, 동종이식 - 특수2",A061,"조혈모세포 이식, 동종이식",S,,6,0.0,0.0
A0617,"조혈모세포 이식, 동종이식 - 특수3",A061,"조혈모세포 이식, 동종이식",S,,7,0.0,0.0
A0618,"조혈모세포 이식, 동종이식 - 특수4",A061,"조혈모세포 이식, 동종이식",S,,8,0.0,0.0
A0619,"조혈모세포 이식, 동종이식 - 특수5",A061,"조혈모세포 이식, 동종이식",S,,9,0.0,0.0
A0620,"조혈모세포 이식, 자가이식",A062,"조혈모세포 이식, 자가이식",S,,0,0.0,0.0
A0621,"조혈모세포 이식, 자가이식 - 경도",A062,"조혈모세포 이식, 자가이식",S,,1,0.0,0.0
A0622,"조혈모세포 이식, 자가이식 - 중등도",A062,"조혈모세포 이식, 자가이식",S,,2,0.0,0.0
A0623,"조혈모세포 이식, 자가이식 - 중증",A062,"조혈모세포 이식, 자가이식",S,,3,0.0,0.0
A0624,"조혈모세포 이식, 자가이식 - 최중증",A062,"조혈모세포 이식, 자가이식",S,,4,0.0,0.0
A0625,"조혈모세포 이식, 자가이식 - 특수1",A062,"조혈모세포 이식, 자가이식",S,,5,0.0,0.0
A0626,"조혈모세포 이식, 자가이식 - 특수2",A062,"조혈모세포 이식, 자가이식",S,,6,0.0,0.0
A0627,"조혈모세포 이식, 자가이식 - 특수3",A062,"조혈모세포 이식, 자가이식",S,,7,0.0,0.0
A0628,"조혈모세포 이식, 자가이식 - 특수4",A062,"조혈모세포 이식, 자가이식",S,,8,0.0,0.0
A0629,"조혈모세포 이식, 자가이식 - 특수5",A062,"조혈모세포 이식, 자가이식",S,,9,0.0,0.0
A0700,신장 이식,A070,신장 이식,S,,0,0.0,0.0
A0701,신장 이식 - 경도,A070,신장 이식,S,,1,0.0,0.0
A0702,신장 이식 - 중등도,A070,신장 이식,S,,2,0.0,0.0
A0703,신장 이식 - 중증,A070,신장 이식,S,,3,0.0,0.0
A0704,신장 이식 - 최중증,A070,신장 이식,S,,4,0.0,0.0
A0705,신장 이식 - 특수1,A070,신장 이식,S,,5,0.0,0.0
A0706,신장 이식 - 특수2,A070,신장 이식,S,,6,0.0,0.0
A0707,신장 이식 - 특수3,A070,신장 이식,S,,7,0.0,0.0
A0708,신장 이식 - 특수4,A070,신장 이식,S,,8,0.0,0.0
A0709,신장 이식 - 특수5,A070,신장 이식,S,,9,0.0,0.0
A0800,"체외순환막형산화요법(ECMO), 개심술 미동반",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,0,0.0,0.0
A0801,"체외순환막형산화요법(ECMO), 개심술 미동반 - 경도",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,1,0.0,0.0
A0802,"체외순환막형산화요법(ECMO), 개심술 미동반 - 중등도",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,2,0.0,0.0
A0803,"체외순환막형산화요법(ECMO), 개심술 미동반 - 중증",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,3,0.0,0.0
A0804,"체외순환막형산화요법(ECMO), 개심술 미동반 - 최중증",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,4,0.0,0.0
A0805,"체외순환막형산화요법(ECMO), 개심술 미동반 - 특수1",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,5,0.0,0.0
A0806,"체외순환막형산화요법(ECMO), 개심술 미동반 - 특수2",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,6,0.0,0.0
A0807,"체외순환막형산화요법(ECMO), 개심술 미동반 - 특수3",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,7,0.0,0.0
A0808,"체외순환막형산화요법(ECMO), 개심술 미동반 - 특수4",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,8,0.0,0.0
A0809,"체외순환막형산화요법(ECMO), 개심술 미동반 - 특수5",A080,"체외순환막형산화요법(ECMO), 개심술 미동반",S,,9,0.0,0.0
A0910,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,0,0.0,0.0
A0911,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 경도",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,1,0.0,0.0
A0912,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 중등도",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,2,0.0,0.0
A0913,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 중증",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,3,0.0,0.0
A0914,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 최중증",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,4,0.0,0.0
A0915,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 특수1",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,5,0.0,0.0
A0916,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 특수2",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,6,0.0,0.0
A0917,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 특수3",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,7,0.0,0.0
A0918,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 특수4",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,8,0.0,0.0
A0919,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용 - 특수5",A091,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 장기 사용",S,,9,0.0,0.0
A0920,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,0,0.0,0.0
A0921,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 경도",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,1,0.0,0.0
A0922,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 중등도",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,2,0.0,0.0
A0923,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 중증",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,3,0.0,0.0
A0924,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 최중증",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,4,0.0,0.0
A0925,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 특수1",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,5,0.0,0.0
A0926,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 특수2",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,6,0.0,0.0
A0927,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 특수3",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,7,0.0,0.0
A0928,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 특수4",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,8,0.0,0.0
A0929,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용 - 특수5",A092,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 단기 사용",S,,9,0.0,0.0
A0930,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,0,0.0,0.0
A0931,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 경도",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,1,0.0,0.0
A0932,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 중등도",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,2,0.0,0.0
A0933,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 중증",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,3,0.0,0.0
A0934,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 최중증",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,4,0.0,0.0
A0935,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 특수1",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,5,0.0,0.0
A0936,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 특수2",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,6,0.0,0.0
A0937,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 특수3",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,7,0.0,0.0
A0938,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 특수4",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,8,0.0,0.0
A0939,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용 - 특수5",A093,"기관 절개술(안면, 구강, 경부 장애의 경우), 인공호흡기 미사용",S,,9,0.0,0.0
A0940,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,0,0.0,0.0
A0941,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 경도",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,1,0.0,0.0
A0942,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 중등도",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,2,0.0,0.0
A0943,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 중증",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,3,0.0,0.0
A0944,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 최중증",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,4,0.0,0.0
A0945,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 특수1",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,5,0.0,0.0
A0946,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 특수2",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,6,0.0,0.0
A0947,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 특수3",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,7,0.0,0.0
A0948,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 특수4",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,8,0.0,0.0
A0949,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용 - 특수5",A094,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 장기 사용",S,,9,0.0,0.0
A0950,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,0,0.0,0.0
A0951,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 경도",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,1,0.0,0.0
A0952,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 중등도",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,2,0.0,0.0
A0953,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 중증",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,3,0.0,0.0
A0954,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 최중증",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,4,0.0,0.0
A0955,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 특수1",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,5,0.0,0.0
A0956,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 특수2",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,6,0.0,0.0
A0957,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 특수3",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,7,0.0,0.0
A0958,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 특수4",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,8,0.0,0.0
A0959,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용 - 특수5",A095,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 단기 사용",S,,9,0.0,0.0
A0960,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,0,0.0,0.0
A0961,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 경도",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,1,0.0,0.0
A0962,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 중등도",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,2,0.0,0.0
A0963,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 중증",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,3,0.0,0.0
A0964,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 최중증",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,4,0.0,0.0
A0965,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 특수1",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,5,0.0,0.0
A0966,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 특수2",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,6,0.0,0.0
A0967,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 특수3",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,7,0.0,0.0
A0968,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 특수4",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,8,0.0,0.0
A0969,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용 - 특수5",A096,"기관 절개술(안면, 구강, 경부 장애 제외), 인공호흡기 미사용",S,,9,0.0,0.0
A1000,사지 이식,A100,사지 이식,S,,0,0.0,0.0
A1001,사지 이식 - 경도,A100,사지 이식,S,,1,0.0,0.0
A1002,사지 이식 - 중등도,A100,사지 이식,S,,2,0.0,0.0
A1003,사지 이식 - 중증,A100,사지 이식,S,,3,0.0,0.0
A1004,사지 이식 - 최중증,A100,사지 이식,S,,4,0.0,0.0
A1005,사지 이식 - 특수1,A100,사지 이식,S,,5,0.0,0.0
A1006,사지 이식 - 특수2,A100,사지 이식,S,,6,0.0,0.0
A1007,사지 이식 - 특수3,A100,사지 이식,S,,7,0.0,0.0
A1008,사지 이식 - 특수4,A100,사지 이식,S,,8,0.0,0.0
A1009,사지 이식 - 특수5,A100,사지 이식,S,,9,0.0,0.0
B0110,복잡 뇌동맥류 수술(뇌졸중 동반),B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,0,0.0,0.0
B0111,복잡 뇌동맥류 수술(뇌졸중 동반) - 경도,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,1,0.0,0.0
B0112,복잡 뇌동맥류 수술(뇌졸중 동반) - 중등도,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,2,0.0,0.0
B0113,복잡 뇌동맥류 수술(뇌졸중 동반) - 중증,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,3,0.0,0.0
B0114,복잡 뇌동맥류 수술(뇌졸중 동반) - 최중증,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,4,0.0,0.0
B0115,복잡 뇌동맥류 수술(뇌졸중 동반) - 특수1,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,5,0.0,0.0
B0116,복잡 뇌동맥류 수술(뇌졸중 동반) - 특수2,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,6,0.0,0.0
B0117,복잡 뇌동맥류 수술(뇌졸중 동반) - 특수3,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,7,0.0,0.0
B0118,복잡 뇌동맥류 수술(뇌졸중 동반) - 특수4,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,8,0.0,0.0
B0119,복잡 뇌동맥류 수술(뇌졸중 동반) - 특수5,B011,복잡 뇌동맥류 수술(뇌졸중 동반),S,,9,0.0,0.0
B0120,단순 뇌동맥류 수술(뇌졸중 동반),B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,0,0.0,0.0
B0121,단순 뇌동맥류 수술(뇌졸중 동반) - 경도,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,1,0.0,0.0
B0122,단순 뇌동맥류 수술(뇌졸중 동반) - 중등도,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,2,0.0,0.0
B0123,단순 뇌동맥류 수술(뇌졸중 동반) - 중증,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,3,0.0,0.0
B0124,단순 뇌동맥류 수술(뇌졸중 동반) - 최중증,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,4,0.0,0.0
B0125,단순 뇌동맥류 수술(뇌졸중 동반) - 특수1,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,5,0.0,0.0
B0126,단순 뇌동맥류 수술(뇌졸중 동반) - 특수2,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,6,0.0,0.0
B0127,단순 뇌동맥류 수술(뇌졸중 동반) - 특수3,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,7,0.0,0.0
B0128,단순 뇌동맥류 수술(뇌졸중 동반) - 특수4,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,8,0.0,0.0
B0129,단순 뇌동맥류 수술(뇌졸중 동반) - 특수5,B012,단순 뇌동맥류 수술(뇌졸중 동반),S,,9,0.0,0.0
B0130,복잡 뇌동맥류 수술(뇌졸중 미동반),B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,0,0.0,0.0
B0131,복잡 뇌동맥류 수술(뇌졸중 미동반) - 경도,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,1,0.0,0.0
B0132,복잡 뇌동맥류 수술(뇌졸중 미동반) - 중등도,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,2,0.0,0.0
B0133,복잡 뇌동맥류 수술(뇌졸중 미동반) - 중증,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,3,0.0,0.0
B0134,복잡 뇌동맥류 수술(뇌졸중 미동반) - 최중증,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,4,0.0,0.0
B0135,복잡 뇌동맥류 수술(뇌졸중 미동반) - 특수1,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,5,0.0,0.0
B0136,복잡 뇌동맥류 수술(뇌졸중 미동반) - 특수2,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,6,0.0,0.0
B0137,복잡 뇌동맥류 수술(뇌졸중 미동반) - 특수3,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,7,0.0,0.0
B0138,복잡 뇌동맥류 수술(뇌졸중 미동반) - 특수4,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,8,0.0,0.0
B0139,복잡 뇌동맥류 수술(뇌졸중 미동반) - 특수5,B013,복잡 뇌동맥류 수술(뇌졸중 미동반),S,,9,0.0,0.0
B0140,단순 뇌동맥류 수술(뇌졸중 미동반),B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,0,0.0,0.0
B0141,단순 뇌동맥류 수술(뇌졸중 미동반) - 경도,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,1,0.0,0.0
B0142,단순 뇌동맥류 수술(뇌졸중 미동반) - 중등도,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,2,0.0,0.0
B0143,단순 뇌동맥류 수술(뇌졸중 미동반) - 중증,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,3,0.0,0.0
B0144,단순 뇌동맥류 수술(뇌졸중 미동반) - 최중증,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,4,0.0,0.0
B0145,단순 뇌동맥류 수술(뇌졸중 미동반) - 특수1,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,5,0.0,0.0
B0146,단순 뇌동맥류 수술(뇌졸중 미동반) - 특수2,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,6,0.0,0.0
B0147,단순 뇌동맥류 수술(뇌졸중 미동반) - 특수3,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,7,0.0,0.0
B0148,단순 뇌동맥류 수술(뇌졸중 미동반) - 특수4,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,8,0.0,0.0
B0149,단순 뇌동맥류 수술(뇌졸중 미동반) - 특수5,B014,단순 뇌동맥류 수술(뇌졸중 미동반),S,,9,0.0,0.0
B0150,뇌동맥류 색전술(뇌졸중 동반),B015,뇌동맥류 색전술(뇌졸중 동반),S,,0,0.0,0.0
B0151,뇌동맥류 색전술(뇌졸중 동반) - 경도,B015,뇌동맥류 색전술(뇌졸중 동반),S,,1,0.0,0.0
